2025-07-23 03:34:00 | __main__ | INFO | Data preparation flow completed successfully.
2025-07-23 03:35:40 | __main__ | INFO | Starting Optuna optimization with 20 trials...
2025-07-23 03:36:42 | __main__ | INFO | Optuna optimization completed.
2025-07-23 03:36:42 | __main__ | INFO | Training complete - RMSE on test set: 5.9266
2025-07-23 03:37:37 | __main__ | INFO | Searching for best model in experiment: stock_price_prediction
2025-07-23 03:37:37 | __main__ | INFO | Registering best model from run_id=2a79263ebd344ed5b481b4d9685d12c9 with RMSE=5.9266
2025-07-23 03:37:37 | __main__ | INFO | Model registered: name=stock-ema-model, version=3
2025-07-23 03:43:18 | __main__ | INFO | Successfully logging model from registry.
2025-07-23 03:43:18 | __main__ | INFO | Loading stock data at 2025-07-22 for 6 stocks.
2025-07-23 03:43:22 | __main__ | INFO | Exported AAPL data to data/inference/raw/AAPL.csv
2025-07-23 03:43:22 | __main__ | INFO | Exported GOOGL data to data/inference/raw/GOOGL.csv
2025-07-23 03:43:22 | __main__ | INFO | Exported MSFT data to data/inference/raw/MSFT.csv
2025-07-23 03:43:22 | __main__ | INFO | Exported NVDA data to data/inference/raw/NVDA.csv
2025-07-23 03:43:22 | __main__ | INFO | Exported AMZN data to data/inference/raw/AMZN.csv
2025-07-23 03:43:22 | __main__ | INFO | Exported META data to data/inference/raw/META.csv
2025-07-23 03:43:22 | __main__ | INFO | Successfully export inference data.
2025-07-23 04:07:32 | __main__ | INFO | Successfully logging model from registry.
2025-07-23 04:07:32 | __main__ | INFO | Loading stock data at 2025-07-22 for 6 stocks.
2025-07-23 04:07:35 | __main__ | INFO | Exported AAPL data to data/inference/raw/AAPL.csv
2025-07-23 04:07:35 | __main__ | INFO | Exported GOOGL data to data/inference/raw/GOOGL.csv
2025-07-23 04:07:35 | __main__ | INFO | Exported MSFT data to data/inference/raw/MSFT.csv
2025-07-23 04:07:35 | __main__ | INFO | Exported NVDA data to data/inference/raw/NVDA.csv
2025-07-23 04:07:35 | __main__ | INFO | Exported AMZN data to data/inference/raw/AMZN.csv
2025-07-23 04:07:35 | __main__ | INFO | Exported META data to data/inference/raw/META.csv
2025-07-23 04:07:36 | __main__ | INFO | Successfully export inference data.
2025-07-23 04:09:18 | __main__ | INFO | Successfully logging model from registry.
2025-07-23 04:09:18 | __main__ | INFO | Loading stock data at 2025-07-22 for 6 stocks.
2025-07-23 04:09:22 | __main__ | INFO | Exported AAPL data to data/inference/raw/AAPL.csv
2025-07-23 04:09:22 | __main__ | INFO | Exported GOOGL data to data/inference/raw/GOOGL.csv
2025-07-23 04:09:22 | __main__ | INFO | Exported MSFT data to data/inference/raw/MSFT.csv
2025-07-23 04:09:22 | __main__ | INFO | Exported NVDA data to data/inference/raw/NVDA.csv
2025-07-23 04:09:22 | __main__ | INFO | Exported AMZN data to data/inference/raw/AMZN.csv
2025-07-23 04:09:22 | __main__ | INFO | Exported META data to data/inference/raw/META.csv
2025-07-23 04:09:23 | __main__ | INFO | Successfully export inference data.
2025-07-23 04:09:23 | __main__ | INFO | Prediction saved at data/inference/prediction/latest.csv
2025-07-23 04:09:23 | __main__ | INFO | Inference Flow finished
